YEAR|MONTH|product|Volumen|Valor (miles de €)|Precio medio kg|Consumo per capita|Gasto per capita
2018|1|TOTAL PATATAS|108430.72|84640.08|0.78|2.38|1.85
2018|1|PATATAS FRESCAS|79445.66|54688.29|0.69|1.74|1.2
2018|1|PATATAS CONGELADAS|3999.9|4857.79|1.21|0.09|0.11
2018|1|PATATAS PROCESADAS|4997.03|25094.0|5.02|0.11|0.55
2018|1|T.HORTALIZAS FRESCAS|209957.24|376688.56|1.79|4.6|8.25
2018|1|TOMATES|39934.35|67517.73|1.69|0.88|1.48
2018|1|CEBOLLAS|25922.07|26254.86|1.01|0.57|0.58
2018|1|AJOS|2572.64|10736.54|4.17|0.06|0.24
2018|1|COLES|7041.12|7624.86|1.08|0.15|0.17
2018|1|PEPINOS|4143.06|6335.35|1.53|0.09|0.14
2018|1|JUDIAS VERDES|7030.04|20346.43|2.89|0.15|0.45
2018|1|PIMIENTOS|15385.94|28593.29|1.86|0.34|0.63
2018|1|CHAMPIÑONES|5755.65|20953.66|3.64|0.13|0.46
2018|1|LECHUGAS|12038.11|33668.4|2.8|0.26|0.74
2018|1|ESPARRAGOS|1652.94|4690.18|2.84|0.04|0.1
2018|1|VERDURAS DE HOJA|4933.06|12175.73|2.47|0.11|0.27
2018|1|BERENJENAS|4383.37|7675.76|1.75|0.1|0.17
2018|1|ZANAHORIAS|13553.18|11335.57|0.84|0.3|0.25
2018|1|CALABACINES|15570.6|22163.4|1.42|0.34|0.49
2018|1|OTR.HORTALIZAS/VERD.|50041.09|96616.8|1.93|1.1|2.12
2018|1|BROCOLI|6535.18|8832.66|1.35|0.14|0.19
2018|1|ALCACHOFAS|8463.51|15419.97|1.82|0.19|0.34
2018|1|VERD./HORT. IV GAMA|23884.5|62694.01|2.62|0.52|1.37
2018|1|T.FRUTAS FRESCAS|324553.06|471462.16|1.45|7.11|10.33
2018|1|NARANJAS|96414.9|88258.06|0.92|2.11|1.93
2018|1|MANDARINAS|46857.48|63487.81|1.35|1.03|1.39
2018|1|LIMONES|9845.93|15014.88|1.52|0.22|0.33
2018|1|PLATANOS|51819.21|74986.61|1.45|1.14|1.64
2018|1|MANZANAS|39451.08|56157.49|1.42|0.86|1.23
2018|1|PERAS|20499.44|29642.59|1.45|0.45|0.65
2018|1|MELOCOTONES|86.1|190.03|2.21|0.0|0.0
2018|1|NECTARINAS|651.02|1149.49|1.77|0.01|0.03
2018|1|ALBARICOQUES|135.82|248.22|1.83|0.0|0.01
2018|1|FRESONES|8068.65|28425.57|3.52|0.18|0.62
2018|1|MELONES|5710.89|8844.92|1.55|0.13|0.19
2018|1|SANDIAS|266.36|330.45|1.24|0.01|0.01
2018|1|CIRUELAS|319.91|704.48|2.2|0.01|0.02
2018|1|CEREZAS|209.76|1053.96|5.02|0.0|0.02
2018|1|UVAS|3934.44|11780.84|2.99|0.09|0.26
2018|1|KIWI|11896.95|30964.88|2.6|0.26|0.68
2018|1|AGUACATE|4378.92|14662.16|3.35|0.1|0.32
2018|1|PIÑAS|8911.77|12318.0|1.38|0.2|0.27
2018|1|OTRAS FRUTAS FRESCAS|15094.43|33241.73|2.2|0.33|0.73
2018|1|POMELO|1221.08|1999.58|1.64|0.03|0.04
2018|1|CHIRIMOYAS|0.0|0.0|0.0|0.0|0.0
2018|1|FRUTAS IV GAMA|13972.33|22917.56|1.64|0.31|0.5
2018|2|TOTAL PATATAS|101633.34|79007.99|0.78|2.23|1.73
2018|2|PATATAS FRESCAS|73911.29|49850.85|0.67|1.62|1.09
2018|2|PATATAS CONGELADAS|3715.22|4642.52|1.25|0.08|0.1
2018|2|PATATAS PROCESADAS|4801.37|24514.62|5.11|0.11|0.54
2018|2|T.HORTALIZAS FRESCAS|199357.88|359202.25|1.8|4.37|7.87
2018|2|TOMATES|37209.3|60250.41|1.62|0.82|1.32
2018|2|CEBOLLAS|24194.45|25924.11|1.07|0.53|0.57
2018|2|AJOS|2532.72|10798.09|4.26|0.06|0.24
2018|2|COLES|6452.48|7135.05|1.11|0.14|0.16
2018|2|PEPINOS|3902.51|6407.31|1.64|0.09|0.14
2018|2|JUDIAS VERDES|6422.41|18848.0|2.93|0.14|0.41
2018|2|PIMIENTOS|14826.66|28302.04|1.91|0.32|0.62
2018|2|CHAMPIÑONES|5705.26|19958.32|3.5|0.13|0.44
2018|2|LECHUGAS|10972.67|30653.29|2.79|0.24|0.67
2018|2|ESPARRAGOS|2152.64|5875.58|2.73|0.05|0.13
2018|2|VERDURAS DE HOJA|5512.59|12337.75|2.24|0.12|0.27
2018|2|BERENJENAS|4469.76|7528.77|1.68|0.1|0.16
2018|2|ZANAHORIAS|12422.87|10391.97|0.84|0.27|0.23
2018|2|CALABACINES|13690.57|20066.47|1.47|0.3|0.44
2018|2|OTR.HORTALIZAS/VERD.|48890.99|94725.11|1.94|1.07|2.08
2018|2|BROCOLI|6199.6|9040.53|1.46|0.14|0.2
2018|2|ALCACHOFAS|9675.8|17145.1|1.77|0.21|0.38
2018|2|VERD./HORT. IV GAMA|21965.26|56940.49|2.59|0.48|1.25
2018|2|T.FRUTAS FRESCAS|288347.39|446796.68|1.55|6.32|9.79
2018|2|NARANJAS|87715.83|81368.38|0.93|1.92|1.78
2018|2|MANDARINAS|33476.7|52469.09|1.57|0.73|1.15
2018|2|LIMONES|7639.91|11819.99|1.55|0.17|0.26
2018|2|PLATANOS|47849.0|70443.1|1.47|1.05|1.54
2018|2|MANZANAS|37806.15|55038.5|1.46|0.83|1.21
2018|2|PERAS|19480.36|29079.24|1.49|0.43|0.64
2018|2|MELOCOTONES|141.57|401.68|2.84|0.0|0.01
2018|2|NECTARINAS|451.85|877.92|1.94|0.01|0.02
2018|2|ALBARICOQUES|234.64|530.45|2.26|0.01|0.01
2018|2|FRESONES|15578.14|51861.06|3.33|0.34|1.14
2018|2|MELONES|5239.94|6808.8|1.3|0.11|0.15
2018|2|SANDIAS|335.46|422.35|1.26|0.01|0.01
2018|2|CIRUELAS|715.36|2255.46|3.15|0.02|0.05
2018|2|CEREZAS|266.11|977.17|3.67|0.01|0.02
2018|2|UVAS|2164.77|8039.35|3.71|0.05|0.18
2018|2|KIWI|10840.21|29551.8|2.73|0.24|0.65
2018|2|AGUACATE|4086.17|13578.81|3.32|0.09|0.3
2018|2|PIÑAS|6290.74|9971.21|1.59|0.14|0.22
2018|2|OTRAS FRUTAS FRESCAS|8034.48|21302.31|2.65|0.18|0.47
2018|2|POMELO|1153.59|1902.81|1.65|0.03|0.04
2018|2|CHIRIMOYAS|0.0|0.0|0.0|0.0|0.0
2018|2|FRUTAS IV GAMA|13154.83|23371.23|1.78|0.29|0.51
2018|3|TOTAL PATATAS|111978.64|92382.14|0.82|2.45|2.02
2018|3|PATATAS FRESCAS|79299.74|56112.25|0.71|1.74|1.23
2018|3|PATATAS CONGELADAS|4270.74|5386.51|1.26|0.09|0.12
2018|3|PATATAS PROCESADAS|5681.63|30883.38|5.44|0.12|0.68
2018|3|T.HORTALIZAS FRESCAS|221895.39|401447.35|1.81|4.86|8.8
2018|3|TOMATES|43479.81|69575.29|1.6|0.95|1.52
