Year|Month_INICIO|Month_FIN|SECTOR|SUBSECTOR|PRODUCTO|PRECIO
2018|1|1||Frutales no cítricos|AGUACATE|2.71
2018|1|1||Frutales no cítricos|AGUACATE|1.96
2018|1|1||Frutales no cítricos|AGUACATE|0.48
2018|1|1||Frutales no cítricos|AGUACATE|1.5
2018|1|1||Frutales no cítricos|AGUACATE|1.68
2018|1|1||Frutales no cítricos|AGUACATE|2.99
2018|1|1||Frutales no cítricos|AGUACATE|1.43
2018|1|1||Frutales no cítricos|AGUACATE|0.65
2018|1|1||Frutales no cítricos|AGUACATE|3.77
2018|1|1||Frutales no cítricos|AGUACATE|1.2
2018|1|1||Frutales no cítricos|AGUACATE|0.59
2018|1|1||Frutales no cítricos|AGUACATE|1.27
2018|1|1||Frutales no cítricos|AGUACATE|1.7
2018|1|1||Frutales no cítricos|AGUACATE|0.57
2018|1|1||Frutales no cítricos|AGUACATE|1.56
2018|1|1||Frutales no cítricos|AGUACATE|2.9
2018|1|1||Frutales no cítricos|AGUACATE|1.62
2018|1|1||Frutales no cítricos|AGUACATE|2.44
2018|1|1||Frutales no cítricos|AGUACATE|2.05
2018|1|1||Frutales no cítricos|AGUACATE|0.49
2018|1|1||Frutales no cítricos|AGUACATE|3.78
2018|1|1||Frutales no cítricos|AGUACATE|1.2
2018|1|1||Frutales no cítricos|AGUACATE|0.3
2018|1|1||Frutales no cítricos|AGUACATE|0.62
2018|1|1||Frutales no cítricos|AGUACATE|1.77
2018|1|1||Frutales no cítricos|AGUACATE|3.82
2018|1|1||Frutales no cítricos|AGUACATE|1.16
2018|1|1||Frutales no cítricos|AGUACATE|0.3
2018|1|1||Frutales no cítricos|AGUACATE|0.83
2018|1|1||Frutales no cítricos|AGUACATE|1.82
2018|1|1||Frutales no cítricos|AGUACATE|0.81
2018|1|1||Frutales no cítricos|AGUACATE|1.57
2018|1|1||Frutales no cítricos|AGUACATE|3.02
2018|1|1||Frutales no cítricos|AGUACATE|1.69
2018|1|1||Frutales no cítricos|AGUACATE|2.61
2018|1|1||Frutales no cítricos|AGUACATE|1.44
2018|1|1||Frutales no cítricos|AGUACATE|0.38
2018|1|1||Frutales no cítricos|AGUACATE|1.58
2018|1|1||Frutales no cítricos|AGUACATE|3.81
2018|1|1||Frutales no cítricos|AGUACATE|1.14
2018|1|1||Frutales no cítricos|AGUACATE|0.27
2018|1|1||Frutales no cítricos|AGUACATE|0.69
2018|1|1||Frutales no cítricos|AGUACATE|1.8
2018|1|1||Frutales no cítricos|AGUACATE|0.71
2018|1|1||Frutales no cítricos|AGUACATE|1.56
2018|1|1||Frutales no cítricos|AGUACATE|3.01
2018|1|1||Frutales no cítricos|AGUACATE|1.68
2018|1|1||Frutales no cítricos|AGUACATE|2.5
2018|1|1||Frutales no cítricos|AGUACATE|1.52
2018|1|1||Frutales no cítricos|AGUACATE|0.53
2018|1|1||Frutales no cítricos|AGUACATE|1.49
2018|1|1||Hortícolas al aire libre|AJO|1.88
2018|1|1||Hortícolas al aire libre|AJO|1.86
2018|1|1||Hortícolas al aire libre|AJO|1.85
2018|1|1||Hortícolas al aire libre|AJO|1.82
2018|1|1||Frutales de cáscara|ALMENDRA|5.3
2018|1|1||Frutales de cáscara|ALMENDRA|4.54
2018|1|1||Frutales de cáscara|ALMENDRA|4.54
2018|1|1||Frutales de cáscara|ALMENDRA|5.13
2018|1|1||Frutales de cáscara|ALMENDRA|4.54
2018|1|1||Frutales de cáscara|ALMENDRA|5.34
2018|1|1||Frutos rojos|ARANDANO|8.5
2018|1|1||Frutos rojos|ARANDANO|9.0
2018|1|1||Hortícolas protegidos|BERENJENA|1.08
2018|1|1||Hortícolas protegidos|BERENJENA|0.43
2018|1|1||Hortícolas protegidos|BERENJENA|0.97
2018|1|1||Hortícolas protegidos|BERENJENA|0.25
2018|1|1||Hortícolas protegidos|BERENJENA|0.35
2018|1|1||Hortícolas protegidos|BERENJENA|0.74
2018|1|1||Hortícolas protegidos|BERENJENA|0.3
2018|1|1||Hortícolas protegidos|BERENJENA|0.73
2018|1|1||Hortícolas protegidos|BERENJENA|1.34
2018|1|1||Hortícolas protegidos|BERENJENA|1.01
2018|1|1||Hortícolas protegidos|BERENJENA|1.19
2018|1|1||Hortícolas protegidos|BERENJENA|0.7
2018|1|1||Hortícolas protegidos|BERENJENA|1.4
2018|1|1||Hortícolas protegidos|BERENJENA|1.0
2018|1|1||Hortícolas protegidos|BERENJENA|0.46
2018|1|1||Hortícolas protegidos|BERENJENA|0.52
2018|1|1||Hortícolas protegidos|BERENJENA|1.1
2018|1|1||Hortícolas protegidos|BERENJENA|1.21
2018|1|1||Hortícolas protegidos|BERENJENA|0.5
2018|1|1||Hortícolas protegidos|BERENJENA|0.24
2018|1|1||Hortícolas protegidos|BERENJENA|0.5
2018|1|1||Hortícolas protegidos|BERENJENA|0.53
2018|1|1||Hortícolas protegidos|BERENJENA|0.16
2018|1|1||Hortícolas protegidos|BERENJENA|0.72
2018|1|1||Hortícolas protegidos|BERENJENA|0.35
2018|1|1||Hortícolas protegidos|BERENJENA|0.8
2018|1|1||Hortícolas protegidos|BERENJENA|1.29
2018|1|1||Hortícolas protegidos|BERENJENA|0.66
2018|1|1||Hortícolas protegidos|BERENJENA|0.32
2018|1|1||Hortícolas protegidos|BERENJENA|0.69
2018|1|1||Hortícolas protegidos|BERENJENA|0.3
2018|1|1||Hortícolas protegidos|BERENJENA|0.86
2018|1|1||Hortícolas protegidos|BERENJENA|0.46
2018|1|1||Hortícolas protegidos|BERENJENA|0.94
2018|1|1||Hortícolas protegidos ecológicos|BERENJENA (ECO)|0.83
2018|1|1||Hortícolas protegidos ecológicos|BERENJENA (ECO)|1.03
2018|1|1||Hortícolas protegidos ecológicos|BERENJENA (ECO)|0.88
2018|1|1||Hortícolas protegidos ecológicos|BERENJENA (ECO)|1.13
2018|1|1||Hortícolas protegidos|CALABACIN|0.87
2018|1|1||Hortícolas protegidos|CALABACIN|0.34
2018|1|1||Hortícolas protegidos|CALABACIN|0.81
2018|1|1||Hortícolas protegidos|CALABACIN|0.16
2018|1|1||Hortícolas protegidos|CALABACIN|0.78
2018|1|1||Hortícolas protegidos|CALABACIN|0.98
2018|1|1||Hortícolas protegidos|CALABACIN|0.88
2018|1|1||Hortícolas protegidos|CALABACIN|0.54
2018|1|1||Hortícolas protegidos|CALABACIN|0.07
2018|1|1||Hortícolas protegidos|CALABACIN|0.4
2018|1|1||Hortícolas protegidos|CALABACIN|0.16
2018|1|1||Hortícolas protegidos|CALABACIN|0.38
2018|1|1||Hortícolas protegidos|CALABACIN|1.09
2018|1|1||Hortícolas protegidos|CALABACIN|0.62
2018|1|1||Hortícolas protegidos|CALABACIN|0.07
2018|1|1||Hortícolas protegidos|CALABACIN|0.54
2018|1|1||Hortícolas protegidos|CALABACIN|0.92
2018|1|1||Hortícolas protegidos|CALABACIN|0.88
2018|1|1||Hortícolas protegidos|CALABACIN|0.42
2018|1|1||Hortícolas protegidos|CALABACIN|0.18
2018|1|1||Hortícolas protegidos|CALABACIN|0.91
2018|1|1||Hortícolas protegidos|CALABACIN|1.1
2018|1|1||Hortícolas protegidos|CALABACIN|0.26
2018|1|1||Hortícolas protegidos|CALABACIN|0.53
2018|1|1||Hortícolas protegidos ecológicos|CALABACIN (ECO)|1.08
2018|1|1||Hortícolas protegidos ecológicos|CALABACIN (ECO)|1.34
2018|1|1||Hortícolas protegidos ecológicos|CALABACIN (ECO)|1.43
2018|1|1||Hortícolas protegidos ecológicos|CALABACIN (ECO)|1.16
2018|1|1||Hortícolas al aire libre|CEBOLLA|0.38
2018|1|1||Hortícolas al aire libre|CEBOLLA|0.39
2018|1|1||Hortícolas al aire libre|CEBOLLA|0.42
2018|1|1||Hortícolas al aire libre|CEBOLLA|0.4
2018|1|1||Frutales no cítricos|CHIRIMOYA|0.89
2018|1|1||Frutales no cítricos|CHIRIMOYA|1.77
2018|1|1||Frutales no cítricos|CHIRIMOYA|2.13
2018|1|1||Frutales no cítricos|CHIRIMOYA|2.74
2018|1|1||Frutales no cítricos|CHIRIMOYA|3.03
2018|1|1||Frutales no cítricos|CHIRIMOYA|0.9
2018|1|1||Frutales no cítricos|CHIRIMOYA|1.78
2018|1|1||Frutales no cítricos|CHIRIMOYA|2.14
2018|1|1||Frutales no cítricos|CHIRIMOYA|2.74
2018|1|1||Frutales no cítricos|CHIRIMOYA|0.8
2018|1|1||Frutales no cítricos|CHIRIMOYA|1.74
2018|1|1||Frutales no cítricos|CHIRIMOYA|3.11
2018|1|1||Frutales no cítricos|CHIRIMOYA|2.11
2018|1|1||Frutales no cítricos|CHIRIMOYA|0.86
2018|1|1||Frutales no cítricos|CHIRIMOYA|1.78
2018|1|1||Frutales no cítricos|CHIRIMOYA|2.12
2018|1|1||Hortícolas al aire libre|ESPARRAGO|7.03
2018|1|1||Hortícolas al aire libre|ESPARRAGO|6.83
2018|1|1||Hortícolas al aire libre|ESPARRAGO|6.63
2018|1|1||Hortícolas al aire libre|ESPARRAGO|6.61
2018|1|1||Frutos rojos|FRAMBUESA|7.13
2018|1|1||Frutos rojos|FRAMBUESA|7.52
2018|1|1||Frutos rojos|FRAMBUESA|7.8
2018|1|1||Frutos rojos|FRAMBUESA|7.01
2018|1|1||Frutos rojos|FRESÓN|3.11
2018|1|1||Frutos rojos|FRESÓN|3.77
2018|1|1||Frutos rojos|FRESÓN|2.77
2018|1|1||Frutos rojos|FRESÓN|2.89
2018|1|1||Frutos rojos|FRESÓN|2.52
2018|1|1||Frutos rojos|FRESÓN|3.16
2018|1|1||Frutos rojos|FRESÓN|2.83
2018|1|1||Frutos rojos|FRESÓN|2.06
2018|1|1||Frutos rojos|FRESÓN|3.0
2018|1|1||Frutos rojos|FRESÓN|2.91
2018|1|1||Frutos rojos|FRESÓN|1.89
2018|1|1||Frutos rojos|FRESÓN|0.48
2018|1|1||Frutos rojos|FRESÓN|2.46
2018|1|1||Hortícolas protegidos|JUDIA VERDE|0.45
2018|1|1||Hortícolas protegidos|JUDIA VERDE|4.98
2018|1|1||Hortícolas protegidos|JUDIA VERDE|3.94
2018|1|1||Hortícolas protegidos|JUDIA VERDE|2.2
2018|1|1||Hortícolas protegidos|JUDIA VERDE|0.87
2018|1|1||Hortícolas protegidos|JUDIA VERDE|2.5
2018|1|1||Hortícolas protegidos|JUDIA VERDE|2.83
2018|1|1||Hortícolas protegidos|JUDIA VERDE|3.21
2018|1|1||Hortícolas protegidos|JUDIA VERDE|1.05
2018|1|1||Hortícolas protegidos|JUDIA VERDE|3.38
2018|1|1||Hortícolas protegidos|JUDIA VERDE|3.07
2018|1|1||Hortícolas protegidos|JUDIA VERDE|2.22
2018|1|1||Hortícolas protegidos|JUDIA VERDE|0.44
