product|familia|YEAR|MONTH|price_mean|Volumen|YearMonth
ACEITUNA|FRUTAS|2018|1|3.0142857142857147|47512|2018-1
ACEITUNA|FRUTAS|2018|2|3.0275|49940|2018-2
ACEITUNA|FRUTAS|2018|3|3.545|9940|2018-3
ACEITUNA|FRUTAS|2018|4|3.182|52638|2018-4
ACEITUNA|FRUTAS|2018|5|3.557142857142857|5239|2018-5
ACEITUNA|FRUTAS|2018|6|2.94|6660|2018-6
ACEITUNA|FRUTAS|2018|7|2.94|6284|2018-7
ACEITUNA|FRUTAS|2018|8|1.9|2012|2018-8
ACEITUNA|FRUTAS|2018|9|3.11|19155|2018-9
ACEITUNA|FRUTAS|2018|10|3.318|39491|2018-10
ACEITUNA|FRUTAS|2018|11|3.686666666666666|34389|2018-11
ACEITUNA|FRUTAS|2018|12|2.3066666666666666|2450|2018-12
ACEITUNA|FRUTAS|2019|1|3.46|2500|2019-1
ACEITUNA|FRUTAS|2019|2|2.0759999999999996|44650|2019-2
ACEITUNA|FRUTAS|2019|3|1.384|23310|2019-3
ACEITUNA|FRUTAS|2019|4|1.73|4090|2019-4
ACEITUNA|FRUTAS|2019|5|2.8833333333333333|14700|2019-5
ACEITUNA|FRUTAS|2019|6|2.768|21440|2019-6
ACEITUNA|FRUTAS|2019|7|2.768|33350|2019-7
ACEITUNA|FRUTAS|2019|8|3.528|36305|2019-8
ACEITUNA|FRUTAS|2019|9|3.1975|46169|2019-9
ACEITUNA|FRUTAS|2019|10|3.2644444444444445|39381|2019-10
ACEITUNA|FRUTAS|2019|11|2.617142857142857|15559|2019-11
ACEITUNA|FRUTAS|2019|12|2.768|17460|2019-12
ACEITUNA|FRUTAS|2020|1|3.573333333333333|14580|2020-1
ACEITUNA|FRUTAS|2020|2|2.0759999999999996|15000|2020-2
ACEITUNA|FRUTAS|2020|3|1.1533333333333333|18600|2020-3
ACEITUNA|FRUTAS|2020|4|1.1533333333333333|17020|2020-4
ACEITUNA|FRUTAS|2020|5|2.836|22805|2020-5
ACEITUNA|FRUTAS|2020|6|2.5949999999999998|17300|2020-6
ACEITUNA|FRUTAS|2020|7|1.73|10170|2020-7
ACEITUNA|FRUTAS|2020|8|2.836|20043|2020-8
ACEITUNA|FRUTAS|2020|9|3.318|119624|2020-9
ACEITUNA|FRUTAS|2020|10|3.376923076923077|100703|2020-10
ACEITUNA|FRUTAS|2020|11|2.804444444444444|59488|2020-11
ACELGA|HORTALIZAS|2018|1|0.7680339023846153|747851|2018-1
ACELGA|HORTALIZAS|2018|2|0.7126962787391303|704130|2018-2
ACELGA|HORTALIZAS|2018|3|0.6054821749666667|842559|2018-3
ACELGA|HORTALIZAS|2018|4|0.6210833947619048|741740|2018-4
ACELGA|HORTALIZAS|2018|5|0.735974435|644118|2018-5
ACELGA|HORTALIZAS|2018|6|0.8783415033529413|544779|2018-6
ACELGA|HORTALIZAS|2018|7|0.661538339076923|318193|2018-7
ACELGA|HORTALIZAS|2018|8|0.5531093498333334|327949|2018-8
ACELGA|HORTALIZAS|2018|9|0.640206492882353|432026|2018-9
ACELGA|HORTALIZAS|2018|10|0.6890246758235294|641490|2018-10
ACELGA|HORTALIZAS|2018|11|0.7646950019545454|648129|2018-11
ACELGA|HORTALIZAS|2018|12|0.70717173625|472702|2018-12
ACELGA|HORTALIZAS|2019|1|0.9490592700454545|636580|2019-1
ACELGA|HORTALIZAS|2019|2|0.7561836251764705|630396|2019-2
ACELGA|HORTALIZAS|2019|3|0.5373918303333334|652661|2019-3
ACELGA|HORTALIZAS|2019|4|0.6527767335|559191|2019-4
ACELGA|HORTALIZAS|2019|5|0.6075844156|462088|2019-5
ACELGA|HORTALIZAS|2019|6|0.4857671958|344802|2019-6
ACELGA|HORTALIZAS|2019|7|0.5581681586470588|246902|2019-7
ACELGA|HORTALIZAS|2019|8|0.5250190682857142|195331|2019-8
ACELGA|HORTALIZAS|2019|9|0.7192825383636364|366196|2019-9
ACELGA|HORTALIZAS|2019|10|0.7518905534545456|466210|2019-10
ACELGA|HORTALIZAS|2019|11|0.5580770503333333|390633|2019-11
ACELGA|HORTALIZAS|2019|12|0.6566512007777778|361223|2019-12
ACELGA|HORTALIZAS|2020|1|0.7276946763571429|440180|2020-1
ACELGA|HORTALIZAS|2020|2|0.7772727273|264593|2020-2
ACELGA|HORTALIZAS|2020|3|0.6127777778235294|330122|2020-3
ACELGA|HORTALIZAS|2020|4|0.9419091192666667|436886|2020-4
ACELGA|HORTALIZAS|2020|5|0.7661860903|370907|2020-5
ACELGA|HORTALIZAS|2020|6|0.67815709625|360846|2020-6
ACELGA|HORTALIZAS|2020|7|0.668354565|328103|2020-7
ACELGA|HORTALIZAS|2020|8|0.5876104885555555|220271|2020-8
ACELGA|HORTALIZAS|2020|9|0.7601904762|392312|2020-9
ACELGA|HORTALIZAS|2020|10|0.7013081800833333|495426|2020-10
ACELGA|HORTALIZAS|2020|11|0.6460526316|414728|2020-11
AGUACATE|FRUTAS|2018|1|3.6152976189999997|1462766|2018-1
AGUACATE|FRUTAS|2018|2|3.630601851833333|1627497|2018-2
AGUACATE|FRUTAS|2018|3|3.799374008|1580571|2018-3
AGUACATE|FRUTAS|2018|4|3.5108840682432434|1879338|2018-4
AGUACATE|FRUTAS|2018|5|3.4772514294857144|2385822|2018-5
AGUACATE|FRUTAS|2018|6|3.023635241608696|2628152|2018-6
AGUACATE|FRUTAS|2018|7|2.6339075497083333|2395543|2018-7
AGUACATE|FRUTAS|2018|8|2.639056856173913|2474342|2018-8
AGUACATE|FRUTAS|2018|9|2.698228840857143|2750923|2018-9
AGUACATE|FRUTAS|2018|10|2.5777926240416664|3290079|2018-10
